orig_path,path,emotion,sentiment,objects_choices_0,objects_choices_1,objects_choices_2,objects_choices_3,objects_choices_4,objects_choices_5,GT_choices_0,GT_choices_1,GT_choices_2,GT_choices_3,GT_choices_4,GT_choices_5,objects_choices_ja_0,objects_choices_ja_1,objects_choices_ja_2,objects_choices_ja_3,objects_choices_ja_4,objects_choices_ja_5,content_context
/home/takeuchi/data/image_sentiment_data/EmotionROI/train_resize_rename/anger/img_anger_93.jpg,images/img_anger_93.jpg,anger,N,Nail,Eye,Finger,Injury,Texture,Play,True,False,True,True,False,False,爪,目,指,傷,  布地,遊び,context
/home/takeuchi/data/image_sentiment_data/EmotionROI/train_resize_rename/anger/img_anger_28.jpg,images/img_anger_28.jpg,anger,N,Fire,Prison,Flower,Oilfield,Sea,Person,True,False,False,False,False,False,火,刑務所・監獄,花,油田,海,人,context
/home/takeuchi/data/image_sentiment_data/EmotionROI/train_resize_rename/anger/img_anger_11.jpg,images/img_anger_11.jpg,anger,N,Playground,Fire,Hearth,Outdoor,Finger,Puddle,False,True,True,False,False,False,遊び場,火,炉床,屋外,指,水たまり,context
/home/takeuchi/data/image_sentiment_data/EmotionROI/train_resize_rename/anger/img_anger_9.jpg,images/img_anger_9.jpg,anger,N,Water,Cup,Blade,Lip,Finger,Eye,False,False,True,True,True,False,水,カップ,刃,唇,指,目,content
/home/takeuchi/data/image_sentiment_data/EmotionROI/train_resize_rename/anger/img_anger_190.jpg,images/img_anger_190.jpg,anger,N,Cloud,Water,Suspension Bridge,Field,Furniture,Crowd,True,True,True,False,False,False,雲,水,吊り橋,野原,家具,群衆,content
/home/takeuchi/data/image_sentiment_data/EmotionROI/train_resize_rename/anger/img_anger_129.jpg,images/img_anger_129.jpg,anger,N,Belt,Construction Crane,Cosmetics,Animal,Person,Toy,True,False,False,False,True,False,ベルト,建設クレーン,化粧品,動物,人,おもちゃ,context
/home/takeuchi/data/image_sentiment_data/EmotionROI/train_resize_rename/anger/img_anger_55.jpg,images/img_anger_55.jpg,anger,N,Silhouette,Face,Stage,Handrail,Person,Tree,False,False,True,False,True,False,シルエット・輪郭,顔,舞台,手すり,人,木,context
/home/takeuchi/data/image_sentiment_data/EmotionROI/train_resize_rename/disgust/img_disgust_29.jpg,images/img_disgust_29.jpg,disgust,N,Window,Cup,Fly,Water,Crystal,Cutlery,False,True,True,False,False,True,窓,カップ,ハエ,水,水晶・結晶,食器,context
/home/takeuchi/data/image_sentiment_data/EmotionROI/train_resize_rename/disgust/img_disgust_64.jpg,images/img_disgust_64.jpg,disgust,N,Leaf,Room,Fire,Toilet Bowl,Bus Stop,Wire,True,True,False,True,False,False,葉,部屋,火, 便器,バス停,針金,context
/home/takeuchi/data/image_sentiment_data/EmotionROI/train_resize_rename/disgust/img_disgust_9.jpg,images/img_disgust_9.jpg,disgust,N,Drink,Letterbox,Couch,Ornament,Animal,Tobacco,True,False,True,False,False,True,飲み物,郵便受け,肘掛け椅子,飾り,動物,タバコ,content
/home/takeuchi/data/image_sentiment_data/EmotionROI/train_resize_rename/disgust/img_disgust_28.jpg,images/img_disgust_28.jpg,disgust,N,Tobacco,Animal,Spider Web,Photo,Tomb,Box,True,False,False,True,False,True,タバコ,動物,クモの巣,写真,墓,箱,content
/home/takeuchi/data/image_sentiment_data/EmotionROI/train_resize_rename/disgust/img_disgust_71.jpg,images/img_disgust_71.jpg,disgust,N,Blood,Person,Cream,Hospital,Animal,Shelf,False,True,True,False,False,True,血,人,クリーム,病院,動物,棚,context
/home/takeuchi/data/image_sentiment_data/EmotionROI/train_resize_rename/disgust/img_disgust_108.jpg,images/img_disgust_108.jpg,disgust,N,Flower,Worm,Building,Hand,Plant,Smoke,False,True,False,True,False,False,花,虫・芋虫,建物・ビル,手,植物,煙,content
/home/takeuchi/data/image_sentiment_data/EmotionROI/train_resize_rename/disgust/img_disgust_134.jpg,images/img_disgust_134.jpg,disgust,N,Chair,Person,Cake,Trash,Window,Parking Lot,True,False,False,True,True,True,椅子,人,ケーキ,ゴミ,窓, 駐車場,context
/home/takeuchi/data/image_sentiment_data/EmotionROI/train_resize_rename/disgust/img_disgust_86.jpg,images/img_disgust_86.jpg,disgust,N,Tire,Cosmetics,Candy,Plant,Ground, Toy,False,False,True,False,True,False,タイヤ,化粧品,飴,植物,地面,おもちゃ,context
